timestamp,client_ip,query,record_type,response_code
2026-06-15T00:04:00,10.21.7.135,office365.com,A,NOERROR
2026-06-15T00:04:06,172.16.5.229,microsoft.com,CNAME,NOERROR
2026-06-15T00:04:58,172.16.5.168,mail.corp.local,CNAME,NOERROR
2026-06-15T00:05:13,10.20.11.76,github.com,CNAME,NOERROR
2026-06-15T00:05:59,10.20.11.207,cloudflare.com,CNAME,NOERROR
2026-06-15T00:06:48,10.21.7.134,cloudflare.com,CNAME,NOERROR
2026-06-15T00:07:00,10.21.7.122,slack.com,CNAME,NOERROR
2026-06-15T00:07:10,10.20.11.241,microsoft.com,CNAME,NOERROR
2026-06-15T00:08:20,10.20.11.44,github.com,CNAME,NOERROR
2026-06-15T00:08:50,10.22.9.4,office365.com,A,NOERROR
2026-06-15T00:09:40,10.22.9.47,mail.corp.local,CNAME,NOERROR
2026-06-15T00:10:09,10.22.9.19,lgytlcqfmuiw7j35vlwojtxcf0kjd2.cdn-sync-update.net,TXT,NOERROR
2026-06-15T00:10:33,172.16.5.167,office365.com,CNAME,NOERROR
2026-06-15T00:11:27,10.21.7.149,mail.corp.local,AAAA,NOERROR
2026-06-15T00:12:00,172.16.5.173,haih7wfrac8e3pqk1io1zm4lcvhfwjfppzje6xg541.cdn-sync-update.net,TXT,NOERROR
2026-06-15T00:12:41,10.21.7.188,office365.com,CNAME,NOERROR
2026-06-15T00:13:05,10.20.11.159,github.com,CNAME,NOERROR
2026-06-15T00:13:56,10.20.11.99,office365.com,A,NXDOMAIN
2026-06-15T00:14:42,10.20.11.240,cloudflare.com,A,NOERROR
2026-06-15T00:15:38,10.20.4.52,mhvl66sajxxo9zjcubzqvqg0xtdnwzzg4c4epzl4j4.cdn-sync-update.net,TXT,NOERROR
2026-06-15T00:16:09,172.16.5.190,corp.local,CNAME,NOERROR
2026-06-15T00:16:44,10.21.7.216,akamai.net,CNAME,NOERROR
2026-06-15T00:16:49,10.21.7.231,mail.corp.local,CNAME,NOERROR
2026-06-15T00:16:57,172.16.5.186,microsoft.com,CNAME,NOERROR
2026-06-15T00:17:03,172.16.5.5,o4yc3s0dpjhsg04ajmmuzuqed0gv812hnc0i4x6g1ebzgflig5.cdn-sync-update.net,TXT,NOERROR
2026-06-15T00:17:20,10.20.11.77,zjrumxqw3b4nthzm32hzs32d1jqbexgfvnnvbzw5ap.cdn-sync-update.net,TXT,NOERROR
2026-06-15T00:18:28,10.21.7.88,6gmft1pwvz0ri0vrob7i77dpjuvffkvzs8ufx2bd2fmoqxhglg.cdn-sync-update.net,TXT,NOERROR
2026-06-15T00:19:22,10.20.11.113,0ft1afdtohrnqi7nl7olky5vtmy8a5.cdn-sync-update.net,TXT,NOERROR
2026-06-15T00:20:28,10.20.11.198,intranet.corp.local,CNAME,NOERROR
2026-06-15T00:20:37,10.21.7.94,microsoft.com,CNAME,NOERROR
2026-06-15T00:21:01,172.16.5.212,v16xeghpmxpkn3b8pfy4qcyd52alun.cdn-sync-update.net,TXT,NOERROR
2026-06-15T00:21:41,10.22.9.4,xypbp0e36s2z48egp15ca8zjsw5pqb5qbvnpy1ajkp.cdn-sync-update.net,TXT,NOERROR
2026-06-15T00:22:23,10.22.9.85,google.com,CNAME,NOERROR
2026-06-15T00:22:30,10.20.4.154,fileshare.corp.local,CNAME,NOERROR
2026-06-15T00:23:03,10.21.7.189,google.com,A,NXDOMAIN
2026-06-15T00:23:38,172.16.5.191,idd0wpj8yi340sqcnf9w5n9c70pa8jx54pegjks4i2.cdn-sync-update.net,TXT,NOERROR
2026-06-15T00:23:46,10.21.7.148,slack.com,A,NOERROR
