timestamp,src_ip,src_port,dst_ip,dst_port,protocol,bytes,status
2026-06-15T00:11:00,10.20.11.207,56600,45.146.164.110,443,TCP,213383,ESTABLISHED
2026-06-15T00:11:23,172.16.5.106,60802,198.51.100.23,443,TCP,224742,CLOSED
2026-06-15T00:11:44,10.20.4.133,51849,45.146.164.110,443,TCP,168369,CLOSED
2026-06-15T00:12:15,10.22.9.224,3769,185.220.101.47,443,TCP,238811,CLOSED
2026-06-15T00:13:17,10.20.4.247,17090,91.203.145.12,443,TCP,103204,CLOSED
2026-06-15T00:14:29,10.20.4.227,41801,103.68.22.9,443,TCP,141894,CLOSED
2026-06-15T00:15:56,10.20.11.236,14928,198.51.100.23,443,TCP,217093,CLOSED
2026-06-15T00:17:10,10.20.4.46,3987,103.68.22.9,443,TCP,768846,ESTABLISHED
2026-06-15T00:18:38,10.20.4.140,41096,198.51.100.23,443,TCP,118593,CLOSED
2026-06-15T00:19:44,10.20.4.157,51936,10.21.7.193,445,TCP,5532,ESTABLISHED
2026-06-15T00:19:56,10.20.11.70,44800,185.220.101.47,8443,TCP,2673,RESET
2026-06-15T00:20:43,10.20.4.212,40830,91.203.145.12,443,TCP,255670,CLOSED
2026-06-15T00:22:12,172.16.5.226,32938,45.146.164.110,443,TCP,144492,CLOSED
2026-06-15T00:23:26,10.21.7.41,37412,103.68.22.9,443,TCP,58917,CLOSED
2026-06-15T00:25:19,10.20.11.94,26533,198.51.100.23,443,TCP,285431,ESTABLISHED
2026-06-15T00:26:01,172.16.5.5,20607,10.20.0.53,53,UDP,222,CLOSED
2026-06-15T00:26:14,10.20.4.120,14435,103.68.22.9,443,TCP,199492,CLOSED
2026-06-15T00:27:08,10.22.9.78,34410,185.220.101.47,445,TCP,2100,RESET
2026-06-15T00:28:19,10.20.11.148,17487,185.220.101.47,445,TCP,2454,RESET
2026-06-15T00:28:30,172.16.5.13,10222,45.146.164.110,22,TCP,750,RESET
2026-06-15T00:29:24,172.16.5.66,18736,45.146.164.110,443,TCP,24723,CLOSED
2026-06-15T00:30:58,10.20.11.250,6923,103.68.22.9,443,TCP,558213,ESTABLISHED
2026-06-15T00:31:12,172.16.5.197,10193,103.68.22.9,443,TCP,274436,CLOSED
2026-06-15T00:32:50,10.21.7.158,56174,185.220.101.47,8443,TCP,843,RESET
2026-06-15T00:33:20,10.21.7.41,3702,45.146.164.110,443,TCP,52025,CLOSED
2026-06-15T00:34:54,172.16.5.192,29861,91.203.145.12,443,TCP,248526,CLOSED
2026-06-15T00:36:31,10.21.7.138,29649,91.203.145.12,443,TCP,191593,CLOSED
2026-06-15T00:37:08,172.16.5.95,63654,10.20.4.170,445,TCP,21235,ESTABLISHED
2026-06-15T00:38:26,10.20.4.133,59964,91.203.145.12,443,TCP,775654,ESTABLISHED
2026-06-15T00:39:53,10.21.7.234,46029,185.220.101.47,3389,TCP,75,RESET
2026-06-15T00:40:45,172.16.5.135,50478,10.20.0.53,53,UDP,430,CLOSED
2026-06-15T00:41:41,10.20.11.216,40763,103.68.22.9,443,TCP,274129,CLOSED
2026-06-15T00:42:25,10.22.9.180,34729,45.146.164.110,22,TCP,2396,RESET
2026-06-15T00:43:29,10.22.9.42,17060,45.146.164.110,443,TCP,89745,CLOSED
2026-06-15T00:45:09,10.22.9.9,49312,103.68.22.9,443,TCP,289143,CLOSED
2026-06-15T00:46:27,10.22.9.185,41833,103.68.22.9,443,TCP,175797,ESTABLISHED
2026-06-15T00:47:48,10.22.9.109,55985,10.22.9.76,445,TCP,34839,ESTABLISHED
2026-06-15T00:49:01,10.20.11.27,56684,91.203.145.12,443,TCP,102409,CLOSED
2026-06-15T00:50:57,10.20.4.100,27425,45.146.164.110,443,TCP,113507,CLOSED
2026-06-15T00:51:36,10.20.4.97,7071,198.51.100.23,443,TCP,48857,CLOSED
2026-06-15T00:52:31,10.22.9.140,33834,45.146.164.110,443,TCP,156113,CLOSED
2026-06-15T00:52:39,10.20.11.228,26024,103.68.22.9,443,TCP,179698,CLOSED
2026-06-15T00:54:20,172.16.5.81,28176,185.220.101.47,8443,TCP,3860,RESET
2026-06-15T00:55:51,10.20.11.62,9774,45.146.164.110,3389,TCP,961,RESET
2026-06-15T00:56:37,10.22.9.32,30535,198.51.100.23,443,TCP,265000,CLOSED
2026-06-15T00:57:47,172.16.5.8,10952,10.20.11.60,445,TCP,31901,ESTABLISHED
2026-06-15T00:58:46,172.16.5.16,3377,91.203.145.12,443,TCP,167362,CLOSED
2026-06-15T01:00:18,10.21.7.225,53416,45.146.164.110,22,TCP,2808,RESET
2026-06-15T01:01:19,172.16.5.73,54102,45.146.164.110,8443,TCP,2439,RESET
2026-06-15T01:02:43,10.21.7.182,18029,185.220.101.47,443,TCP,659582,ESTABLISHED
2026-06-15T01:03:22,10.22.9.109,33556,103.68.22.9,443,TCP,166060,CLOSED
2026-06-15T01:04:39,10.20.11.153,35419,185.220.101.47,22,TCP,3512,RESET
